,Timings,Thread Count,Grid Size
0,"[0.00064, 0.000636, 0.000603, 0.000579, 0.000633, 0.000627, 0.000676, 0.000629, 0.000582, 0.000581]",1,32
1,"[0.002991, 0.002344, 0.002375, 0.002606, 0.002234, 0.002461, 0.002341, 0.002233, 0.002656, 0.002346]",1,64
2,"[0.010391, 0.009393, 0.010721, 0.009706, 0.00961, 0.009779, 0.010166, 0.010601, 0.010777, 0.010791]",1,128
3,"[0.042169, 0.039335, 0.041685, 0.036799, 0.037154, 0.038212, 0.036899, 0.036322, 0.036912, 0.036695]",1,256
4,"[0.159576, 0.150071, 0.153251, 0.149264, 0.154834, 0.148452, 0.153402, 0.153177, 0.149611, 0.160946]",1,512
5,"[0.624384, 0.643313, 0.660214, 0.714611, 0.885989, 0.962971, 0.975808, 0.941427, 0.927191, 0.938038]",1,1024
6,"[3.709661, 3.542993, 3.511938, 3.4814, 3.479188, 3.627825, 3.502284, 3.468373, 3.470904, 3.462564]",1,2048
7,"[13.876995, 13.8918, 13.899018, 13.830934, 13.830907, 13.893088, 13.839943, 13.816242, 13.889739, 13.859054]",1,4096
8,"[0.000608, 0.000537, 0.000611, 0.000501, 0.00054, 0.000649, 0.000499, 0.000491, 0.000548, 0.000539]",2,32
9,"[0.001911, 0.002327, 0.001898, 0.001785, 0.002332, 0.001912, 0.002082, 0.001943, 0.001952, 0.001943]",2,64
10,"[0.007413, 0.008053, 0.007509, 0.007576, 0.007757, 0.007713, 0.007723, 0.007592, 0.007652, 0.007654]",2,128
11,"[0.032338, 0.032435, 0.032558, 0.032729, 0.032633, 0.032757, 0.032701, 0.033269, 0.034004, 0.033981]",2,256
12,"[0.142824, 0.141662, 0.142533, 0.151095, 0.148402, 0.148233, 0.148278, 0.144199, 0.142853, 0.150991]",2,512
13,"[0.612251, 0.597316, 0.5886, 0.578866, 0.588211, 0.590297, 0.583672, 0.589982, 0.589416, 0.590214]",2,1024
14,"[2.371768, 2.355429, 2.327457, 2.338452, 2.300254, 2.325348, 2.341009, 2.324611, 2.311111, 2.295454]",2,2048
15,"[9.319553, 9.258135, 9.450597, 9.486172, 9.344507, 9.971384, 9.262949, 9.253894, 9.257949, 9.250904]",2,4096
16,"[0.000655, 0.00063, 0.000527, 0.000663, 0.000568, 0.000464, 0.000951, 0.000483, 0.00049, 0.000599]",4,32
17,"[0.002263, 0.002431, 0.001522, 0.002595, 0.001387, 0.001399, 0.001405, 0.002278, 0.002256, 0.00138]",4,64
18,"[0.008966, 0.005371, 0.00517, 0.009189, 0.005297, 0.00517, 0.005242, 0.005183, 0.005182, 0.005072]",4,128
19,"[0.038, 0.021833, 0.02094, 0.02102, 0.021729, 0.022777, 0.022198, 0.022046, 0.021994, 0.022323]",4,256
20,"[0.140909, 0.093125, 0.09706, 0.099184, 0.130134, 0.103837, 0.107136, 0.104352, 0.103844, 0.107125]",4,512
21,"[0.52448, 0.442375, 0.447075, 0.432345, 0.444594, 0.435667, 0.451942, 0.447422, 0.437782, 0.479928]",4,1024
22,"[1.838122, 1.836673, 1.839602, 1.776135, 1.768533, 1.827017, 1.802646, 1.824233, 1.806852, 1.767371]",4,2048
23,"[7.176436, 7.088824, 7.151007, 7.134303, 7.168088, 7.148571, 7.140202, 7.139116, 7.08947, 7.154338]",4,4096
24,"[0.044821, 0.002334, 0.001335, 0.000826, 0.000819, 0.000822, 0.000999, 0.000954, 0.001527, 0.000802]",8,32
25,"[0.043917, 0.012045, 0.001927, 0.001914, 0.002509, 0.001852, 0.002147, 0.002036, 0.001908, 0.001867]",8,64
26,"[0.035218, 0.008438, 0.013505, 0.006636, 0.006873, 0.006608, 0.006626, 0.006953, 0.007517, 0.006215]",8,128
27,"[0.104908, 0.024279, 0.025913, 0.026028, 0.025811, 0.02558, 0.025816, 0.025567, 0.026528, 0.026714]",8,256
28,"[0.139904, 0.13078, 0.136641, 0.110754, 0.100379, 0.100517, 0.099864, 0.104719, 0.109385, 0.106441]",8,512
29,"[0.471628, 0.425828, 0.751047, 0.428996, 0.445229, 0.43783, 0.467645, 0.435787, 0.503494, 0.429435]",8,1024
30,"[1.816548, 1.792103, 1.821141, 1.830574, 1.799281, 1.771112, 1.763421, 1.806993, 1.802715, 1.807958]",8,2048
31,"[7.227765, 7.130897, 7.15618, 7.139832, 7.125535, 7.138112, 7.234153, 7.09232, 7.199194, 7.165235]",8,4096
